iter,roomID,t0,t1,latencyMs,mode,ok,error,ts
1,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T01:52:53.865Z
2,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T01:53:38.880Z
3,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T01:54:23.892Z
4,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T01:55:08.900Z
5,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T01:55:53.902Z
6,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T01:56:38.914Z
7,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T01:57:23.916Z
8,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T01:58:08.922Z
9,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T01:58:53.930Z
10,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T01:59:38.943Z
11,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:00:23.954Z
12,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:01:08.957Z
13,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:01:53.957Z
14,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:02:38.962Z
15,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:03:23.978Z
16,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:04:08.981Z
17,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:04:53.991Z
18,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:05:38.996Z
19,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:06:23.997Z
20,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:07:09.002Z
21,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:07:54.007Z
22,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:08:39.016Z
23,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:09:24.020Z
24,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:10:09.032Z
25,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:10:54.046Z
26,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:11:39.062Z
27,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:12:24.071Z
28,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:13:09.074Z
29,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:13:54.081Z
30,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:14:39.096Z
31,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:15:24.096Z
32,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:16:09.100Z
33,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:16:54.107Z
34,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:17:39.118Z
35,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:18:24.124Z
36,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:19:09.134Z
37,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:19:54.141Z
38,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:20:39.142Z
39,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:21:24.145Z
40,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:22:09.152Z
41,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:22:54.164Z
42,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:23:39.171Z
43,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:24:24.173Z
44,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:25:09.177Z
45,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:25:54.179Z
46,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:26:39.190Z
47,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:27:24.198Z
48,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:28:09.210Z
49,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:28:54.222Z
50,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:29:39.225Z
51,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:30:24.232Z
52,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:31:09.235Z
53,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:31:54.246Z
54,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:32:39.256Z
55,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:33:24.263Z
56,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:34:09.276Z
57,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:34:54.282Z
58,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:35:39.290Z
59,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:36:24.301Z
60,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:37:09.303Z
61,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:37:54.314Z
62,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:38:39.325Z
63,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:39:24.340Z
64,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:40:09.342Z
65,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:40:54.356Z
66,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:41:39.370Z
67,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:42:24.371Z
68,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:43:09.374Z
69,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:43:54.381Z
70,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:44:39.392Z
71,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:45:24.408Z
72,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:46:09.417Z
73,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:46:54.426Z
74,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:47:39.431Z
75,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:48:24.436Z
76,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:49:09.444Z
77,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:49:54.455Z
78,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:50:39.465Z
79,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:51:24.467Z
80,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:52:09.480Z
81,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:52:54.480Z
82,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:53:39.487Z
83,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:54:24.497Z
84,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:55:09.511Z
85,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:55:54.516Z
86,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:56:39.526Z
87,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:57:24.527Z
88,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:58:09.537Z
89,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:58:54.542Z
90,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T02:59:39.542Z
91,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:00:24.544Z
92,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:01:09.549Z
93,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:01:54.557Z
94,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:02:39.572Z
95,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:03:24.577Z
96,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:04:09.585Z
97,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:04:54.591Z
98,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:05:39.592Z
99,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:06:24.596Z
100,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:07:09.601Z
101,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:07:54.616Z
102,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:08:39.622Z
103,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:09:24.623Z
104,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:10:09.634Z
105,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:10:54.645Z
106,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:11:39.651Z
107,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:12:24.660Z
108,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:13:09.663Z
109,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:13:54.678Z
110,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:14:39.688Z
111,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:15:24.692Z
112,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:16:09.704Z
113,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:16:54.712Z
114,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:17:39.717Z
115,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:18:24.722Z
116,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:19:09.729Z
117,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:19:54.742Z
118,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:20:39.750Z
119,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:21:24.754Z
120,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:22:09.755Z
121,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:22:54.770Z
122,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:23:39.775Z
123,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:24:24.781Z
124,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:25:09.795Z
125,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:25:54.803Z
126,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:26:39.813Z
127,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:27:24.818Z
128,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:28:09.823Z
129,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:28:54.839Z
130,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:29:39.845Z
131,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:30:24.853Z
132,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:31:09.857Z
133,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:31:54.868Z
134,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:32:39.880Z
135,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:33:24.890Z
136,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:34:09.905Z
137,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:34:54.910Z
138,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:35:39.923Z
139,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:36:24.938Z
140,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:37:09.947Z
141,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:37:54.959Z
142,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:38:39.971Z
143,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:39:24.975Z
144,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:40:09.986Z
145,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:40:54.999Z
146,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:41:40.003Z
147,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:42:25.017Z
148,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:43:10.026Z
149,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:43:55.038Z
150,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:44:40.039Z
151,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:45:25.043Z
152,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:46:10.057Z
153,timeout,0,0,45000,serial,false,timeout>45000ms,2026-07-09T03:46:55.063Z
